EudraCT_No,Title,Phase,Objective,End_date,Sample_size,pr_endpoint,endpoint_description,Treatment,LT_followup,manual_label
2015-005234-21,phase 3b multicenter single arm open label safety study ly2951742 galcanezumab patient episodic chronic cluster headache,3b,main purpose study as long term safety tolerability galcanezumab administered monthly participant episodic chronic cluster headache completed study i5q mc cgal nct02397473 study i5q mc cgam nct02438826,21-Jan-21,165,number participant treatment emergent adverse event teaes serious aes saes,teae defined reported aes first occurred worsened post baseline phase compared baseline phase sae adverse event study result 1 following death initial prolonged inpatient hospitalization life threatening experience immediate risk dying persistent significant disability incapacity congenital anomaly birth defect important medical event may immediately life threatening result death hospitalization may jeopardize subject may require intervention prevent 1 outcome listed definition summary serious non serious adverse event regardless causality located reported adverse event module analysis population description apd participant received least one dose study drug,Galcanezumab,No,0
2018-004180-31,effect oral levosimendan odm 109 respiratory function patient al open label extension patient completing study 3119002,0,primary objective addition continuing treatment subject study evaluate long term safety oral levosimendan amyotrophic lateral sclerosis al patient,18-Nov-20,227,long term safety oral levosimendan,number patient treatment emergent adverse event teae,levosimendan,No,0
2016-002269-77,phase 3 randomized double blind clinical trial evaluate efficacy safety abatacept sc standard treatment compared standard treatment alone improving disease activity adult active idiopathic inflammatory myopathy iim,3,primary objective study compare clinical efficacy weekly abatacept combination standard treatment standard treatment alone assessing percentage subject achieve imacs doi week 24 compared baseline defined improvement 20 3 imacs core measure 2 imacs core measure score worsen 25 manual muscle test mmt 8 may decrease 25,02-Aug-22,148,number participant achieving international myositis assessment clinical study definition improvement imacs doi week 24 without rescue,number participant achieve imacs doi international myositis assessment clinical study definition improvement without rescue medication week 24 imacs doi improvement 20 baseline 3 imacs core measure 2 imacs core measure score worsen 25 baseline 2 imacs core measure score worsen 25 baseline imacs core measure physician global assessment disease activity pga patient subject global assessment disease activity sga manual muscle test mmt 8 health assessment questionnaire disability index haq di muscle enzyme level myositis disease activity assessment tool mdaat extramuscular global activity,Abatacept,No,0
2012-002026-78,multicenter open randomized controlled phase iib trial evaluating efficacy tolerability graspa l asparaginase encapsulated red blood cell eryaspase plus low dose cytarabine versus low dose cytarabine alone treatment newly diagnosed acute myeloid leukemia aml elderly patient unfit intensive chemotherapy enforce 1 study,iib,evaluate overall survival aml patient 65 85 year old unfit intensive chemotherapy treated graspa l asparaginase encapsulated erythrocyte plus low dose cytarabine compared low dose cytarabine alone,10-Nov-17,123,overall survival,assessed measuring time elapsed randomisation death cause patient known died time analysis censored based last recorded date patient known alive,GRASPA,Yes,0
2021-001394-23,randomized multicenter phase 3 study milademetan versus trabectedin patient dedifferentiated liposarcoma,3,primary objective compare progression free survival pfs milademetan treatment arm trabectedin control arm determined blinded independent central review bicr patient unresectable metastatic dedifferentiated dd liposarcoma without well differentiated wd component progressed 1 prior systemic therapy including least 1 anthracycline based therapy,01-Mar-23,175,progression free survival pfs determined bicr,primary efficacy endpoint demonstrate whether increase pfs patient treated milademetan versus trabectedin itt population tumor response assessed accordance recist version 1 1 bicr study meet primary endpoint pfs bicr,Milademetan,No,2
2018-001817-33,phase 2a randomized double blind placebo controlled multi center study evaluate efficacy safety tolerability orally administered glpg1690 24 week subject systemic sclerosis,2a,primary objective study evaluate efficacy glpg1690 evaluated modified rodnan skin score mr compared placebo 24 week treatment participant systemic sclerosis,22-Jun-20,33,change baseline mr week 4,mr validated physical examination method estimating skin thickness 17 body site mr used body site assessed scale 0 uninvolved 3 severe thickening total score range 0 best 51 worst higher score indicating greater severity skin thickening full analysis set fa consisted randomized participant received least 1 dose investiational product,GLPG1690,No,0
2014-001229-34,phase 2 open label extension study evaluate long term safety clinical activity pharmacokinetics aln ttrsc patient transthyretin ttr cardiac amyloidosis previously received aln ttrsc,2,evaluate safety tolerability long term dosing aln ttrsc,22-Feb-17,25,safety tolerability long term dosing aln ttrsc revusiran transthyretin ttr cardiac amyloidosis patient,proportion subject experiencing adverse event aes serious adverse event saes study drug discontinuation,Revusiran,No,0
2019-004619-30,phase 3 double blind randomized placebo controlled parallel group multicenter study open label extension evaluate efficacy safety ravulizumab patient amyotrophic lateral sclerosis al,3,evaluate effect ravulizumab compared placebo amyotrophic lateral sclerosis functional rating scale revised alsfrs r score adult participant amyotrophic lateral sclerosis al,17-Oct-21,382,change baseline amyotrophic lateral sclerosis functional rating scale revised alsfrs r total score,alsfrs revised validated instrument evaluating level functional status participant amyotrophic lateral sclerosis al 4 area including bulbar gross motor activity fine motor activity respiratory function scale included 12 functional item item rated 0 4 scale maximum total score 48 higher score indicated greater retention function baseline defined last non missing value first study drug administration full analysis set fa included randomized participant received least 1 dose study drug grouped randomized treatment group number participant analyzed signifies participant evaluable outcome measure,Ravulizumab,No,1
2015-005241-31,multi center randomized double blind placebo controlled trial evaluate effect intra erythrocyte dexamethasone sodium phosphate neurological symptom patient ataxia telangiectasia,0,initial double blind treatment period 0 6 month evaluate effect erydex two dose level low dose high dose dsp infusion compared placebo central nervous system cns symptom measured change modified international cooperative ataxia rating scale micars baseline month 6 visit 9 patient ataxia telangiectasia extension treatment period 6 12 month evaluate efficacy erydex two dose level low dose high dose dsp infusion compared placebo treating cns symptom patient longer term treatment 12 month measured micars,13-May-21,175,change baseline modified international cooperative ataxia rating scale micars,international cooperative ataxia rating scale icars assessment degree impairment patient cerebellar ataxia administered entirety however primary efficacy assessment based modified icars excluded oculomotor domain item 17 19 item 8 12 kinetic function domain icars micars 54 point maximum score min 0 questionnaire divided 3 section posture gait disturbance section 7 item min score 0 max score 34 kinetic function 2 item min score 0 max score 12 speech disorder 2 item min score 0 max score 8 assessment designed completed within 30 minute higher score total subscores indicate higher level disease impairment subscores added give total score,EryDex Low dose,Yes,1
2015-005033-53,phase 3 multicenter randomized double blind placebo controlled parallel group efficacy safety study comparing eg 1962 standard care oral nimodipine adult aneurysmal subarachnoid hemorrhage,3,compare efficacy intraventricular eg 1962 standard care oral nimodipine subject aneurysmal subarachnoid hemmorhage asah,22-Jul-18,282,gose,glasgow coma scale extended,Intraventricular nimodipine,No,0
2017-004246-20,phase 1 study trk inhibitor selitrectinib bay 2731954 adult pediatric subject previously treated ntrk fusion cancer,1,primary objective study determine recommended dose study oral selitrectinib 2 patient group previously treated neurotrophic tyrosine receptor kinase ntrk fusion cancer defined age 12 year older age 12 year secondary objective study â characterize pharmacokinetic pk property selitrectinib â characterize safety tolerability selitrectinib â as objective response rate orr according best response response evaluation criterion solid tumor version 1 1 recist v1 1 determined investigator patient documented ntrk fusion cancer previously treated tropomyosin receptor kinase trk inhibitor â as orr according best response response assessment neuro oncology rano determined investigator patient primary central nervous system cns malignancy ntrk fusion,30-Jan-23,81,maximum tolerated dose mtd recommended dose patient age 12 year older age 12 year,mtd either age group defined dose level immediately 2 patient experienced dlt assigned dlt period table w stand week f b stand followed,Selitrectinib,No,0
2017-004244-37,placebo controlled efficacy safety trial intravenous neridronic acid subject complex regional pain syndrome crp,0,demonstrate superior efficacy cumulative dose 400 mg intravenous neridronic acid versus placebo treatment crp related pain,01-Aug-19,267,change baseline week 12 average pain intensity score weekly average pain value recorded daily electronic diary,baseline phase treatment period follow period 1 subject asked assessed average crp related pain 11 point numerical rating scale nrs 0 pain 10 pain bad imagine report daily evening 24 hour recall electronic diary change baseline average baseline phase weekly average week 12 calculated full analysis set e subject treated treatment period data available time last subject following premature trial termination,Neridronic acid,No,0
2017-004600-22,randomized placebo controlled crossover study evaluate safety efficacy amifampridine phosphate ambulatory patient spinal muscular atrophy sma type 3,0,characterize overall safety tolerability amifampridine phosphate compared placebo patient sma type 3 as clinical efficacy amifampridine phosphate compared placebo ambulatory patient sma type 3 using hammersmith functional motor scale expanded hfmse,17-Sep-20,13,change baseline hfmse score,nan,amifampridine,No,0
2016-000067-16,single blind phase 2 study evaluate safety efficacy tideglusib 400 mg 1000 mg treatment adolescent adult congenital juvenile onset myotonic dystrophy,2,investigate safety tolerability baseline end treatment tideglusib adolescent adult subject congenital juvenile onset myotonic dystrophy,04-Jan-18,16,safety,nan,Tideglusib,No,0
2012-005772-34,randomised double blind placebo controlled proof concept study efficacy gevokizumab 60mg subcutaneously every 4 week 24 week treatment patient polymyositis dermatomyositis necrotizing autoimmune myopathy disease,0,evaluate efficacy safety gevokizumab adult patient polymyositis pm dermatomyositis dm necrotizing autoimmune myopathy nam intolerant resistant dependent systemic oral corticosteroid,25-Nov-15,27,clinical improvement double blind treatment period,clinical improvement defined according manual muscle testing mmt 8 proximal muscle neck flexor score increase 15 score clinical worsening double blind treatment period,Gevokizumab,No,1
2013-005099-17,multicenter randomized double blind placebo controlled study evaluate efficacy safety immune globulin human 10 caprylate chromatography purified igiv c corticosteroid sparing agent corticosteroid dependent patient generalized myasthenia gravis,0,evaluate efficacy intravenous iv infusion immune globulin human 10 caprylate chromatography purified igiv c compared placebo reducing maintenance dosage corticosteroid c c dependent subject myasthenia gravis mg given initial loading dose 2 gram per kilogram 2 g kg followed 12 maintenance do 1 g kg every 3 week week 36 assessing percent subject achieving 50 greater reduction c dose prednisone equivalent week 39 visit 14 baseline week 0 visit 1,14-Feb-19,60,percent subject achieving 50 greater reduction c dose prednisone equivalent baseline week 39,average daily c dose derived subject scheduled visit based prescribed dose time interval taking account prescribed dose change routinely scheduled visit subject discontinued study early adverse outcome related mg considered achieving 50 greater reduction missing dose reduction week 39 imputed using worst observation carried forward wocf method subject c dose prescribed week 39 due reason last observation carried forward locf method used impute prescribed c dose week 39 baseline defined last non missing measurement taken prior first dose study medication percent subject achieving 50 reduction c dose baseline week 39 presented treatment group baseline daily prednisone equivalent dose level stratification category mitt modified intent treat,IGIV-C,No,0
2012-002365-35,phase 2 multicenter double blind parallel dosing randomized study fresolimumab placebo patient steroid resistant primary focal segmental glomerulosclerosis,2,compare achievement partial remission pr complete remission cr urinary protein creatinine ratio c ratio compare safety profile subject treated fresolimumab versus placebo,11-Nov-14,36,percentage subject achieving partial remission pr complete remission cr urinary protein creatinine ratio c ratio day 112,pr defined 50 greater decline c ratio baseline level 0 3 3 0 mg protein mg creatinine cr defined decline c ratio level 0 3 mg protein mg creatinine full analysis set fa included randomized subject received least 1 dose study drug least 1 post baseline c assessment missing data imputed using last observation carried forward locf,Fresolimumab,No,2
2010-024423-24,multicenter randomised double blind placebo controlled parallel group phase 2 3 study compare efficacy safety masitinib,23,as masitinib add riluzole treatment al,01-Nov-17,394,â alsfrs r efficacy population â normal progressorâ patient receiving masitinib 4 5 mg kg versus control,primary endpoint decline alsfrs r baseline week 48 alsfrs r missing data imputed via last observation carried forward locf methodology patient discontinuing toxicity lack efficacy week 48 patient dying randomization alsfrs r score zero imputed alsfrs r calculated using model analysis covariance ancova adjusted baseline covariates site onset alsfrs r score age geographical region f expressing result difference least square mean lsm treatment masitinib versus placebo corresponding 95 two sided confidence interval ci statistical test p value,masitinib mesylate,Yes,0
2014-004865-26,study examine effect levodopa carbidopa intestinal gel lcig therapy relative optimized medical treatment omt non motor symptom nm associated advanced parkinson disease pd,0,primary objective study examine effect lcig relative omt nm associated advanced pd assessed non motor symptom scale nm total score modified parkinson disease sleep scale pd 2 total score,18-Nov-22,89,change baseline week 26 nm total score,nm consists 30 question 9 domain cardiovascular fall sleep fatigue mood cognition perceptual problem hallucination attention memory gi tract urinary sexual function miscellaneous score question calculated multiplying severity frequency severity frequency rated using scale ranging 0 none 3 severe severity 1 rarely 4 frequent frequency total score sum 9 domain range 0 360 lower value indicating desirable outcome repeated measure analysis intent treat data set participant randomized omt arm participant randomized lcig arm received least one dose study drug participant baseline post baseline measurement reported table,No investigational medicinal product assigned in this arm,No,0
2014-002939-34,randomized double blind placebo controlled study investigate efficacy safety cannabidiol gwp42003 p child young adult dravet syndrome,0,as efficacy gwp42003 p adjunctive antiepileptic treatment compared placebo respect change treatment period study compared baseline convulsive seizure frequency dose response effect 2 gwp42003 p dose level placebo also explored convulsive seizure defined tonic clonic tonic clonic atonic nonconvulsive seizure myoclonic countable partial partial absence,09-Apr-18,199,change convulsive seizure treatment period compared baseline,convulsive seizure defined tonic clonic tonic clonic atonic participant caregiver recorded number type convulsive seizure day screening completion dosing using interactive voice response system ivrs diary primary end point analyzed using negative binomial regression sum convulsive seizure count treatment period based itt analysis set baseline included available data prior day 1 data reported ratio geometric least square mean convulsive seizure expressed percentage reduction,Cannabidiol,Yes,0
2016-002938-73,randomized double blind placebo controlled phase ii study evaluate safety efficacy pharmacokinetics argx 113 patient myasthenia gravis generalized muscle weakness,ii,evaluate safety tolerability argx 113,20-Oct-17,24,1 adverse event,nan,efgartigimod,No,0
2014-001156-28,randomized double blind placebo controlled study as safety efficacy neridronate ampoule 25 mg repeated intramuscular administration patient complex regional pain syndrome type crp,0,primary objective study as efficacy investigational medicinal product imp proportion patient showing 50 reduction pain intensity measured using 100 mm visual analogue scale va baseline visit last visit double blind phase,18-Mar-20,78,proportion patient showing reduction 50 va pain day 30,nan,Neridronate 25 mg i.m.,Yes,0
2012-001995-12,european randomised double blind active comparator controlled cross efficacy safety study new 10 ready use liquid human intravenous immunoglobulin i10e versus kioviga patient multifocal motor neuropathy,0,primary objective study evaluate efficacy i10e compared kiovigâ maintenance treatment patient mmn randomised double blind active comparator controlled cross design,01-Jul-16,23,mean mmrc 10 sum score evaluation period,mmrc 10 sum score measure muscle strength 10 muscle group 5 upper limb 5 lower limb right left muscle group scored 0 paralysis 5 normal strength resulting global score 0 100,I10E,No,1
2012-005259-18,randomized open label multicenter controlled parallel arm phase iii study assessing efficacy safety aop2014 v hydroxyurea patient polycythemia vera,iii,compare efficacy aop2014 v hydroxyurea term disease response rate hydroxyurea naã currently treated patient diagnosed polycythemia vera,08-Apr-16,257,disease response rate,disease response rate defined rate patient met criterion 12 month aop2014 hydroxyurea treatment haematocrit 45 without phlebotomy least 3 month since last phlebotomy platelet 400 x 109 l leukocyte 10 x 109 l spleen size normality defined spleen length 12cm female 13 cm male imaging patient discontinued study considered non responder,No investigational medicinal product assigned in this arm,No,2
2015-000508-24,feasibility study bezafibrate mitochondrial myopathy,0,undertake proof concept study determine whether bezafibrate improve mitochondrial function individual mitochondrial disease determine whether study warranted rct data inform power calculation potential future study,23-Mar-17,6,change complex respiratory chain enzyme activity baseline week 12,nan,Bezafibrate,No,0
2016-002629-13,phase 3 open label extension study tirasemtiv patient amyotrophic lateral sclerosis al completed vitality al cy 4031,3,primary objective as long term safety tolerability tirasemtiv patient al,26-Oct-18,280,long term safety tolerability tirasemtiv measured incidence adverse event,nan,Tirasemtiv,No,0
2019-002108-41,phase 3 multi center open label safety study oral edaravone administered 48 week subject amyotrophic lateral sclerosis al,3,evaluate long term safety tolerability oral edaravone subject al 24 48 week,07-Oct-21,185,number participant treatment emergent adverse event,nan,MT-1186,No,0
2011-000860-90,three arm randomized double blind placebo controlled study efficacy safety two trough range everolimus adjunctive therapy patient tuberous sclerosis complex tsc refractory partial onset seizure final study closure analysis,0,primary objective compare reduction frequency partial onset seizure two trough range everolimus 3 7 ng ml 9 to15 ng ml versus placebo patient tsc taking one three antiepileptic drug aeds secondary objective included comparison ability completely suppress tsc associated seizure proportion patient â 25 reduction baseline average weekly tsc associated seizure frequency distribution reduction baseline seizure frequency seizure free day treatment duration quality life qol,25-Oct-17,366,core phase european medicine agency ema seizure frequency response rate,comparison response rate everolimus low trough treatment arm 3 7 ng ml high trough treatment arm 9 15 ng ml placebo arm response mean least 50 reduction baseline partial onset seizure frequency maintenance period core phase,Antiepileptic drug,No,0
2017-004018-25,randomized placebo controlled parallel group study evaluate effect amifampridine phosphate patient musk antibody positive myasthenia gravis sample achr antibody positive myasthenia gravis patient,0,characterize overall safety tolerability amifampridine phosphate compared placebo patient musk antibody positive myasthenia gravis as clinical efficacy amifampridine phosphate compared placebo patient musk antibody positive myasthenia gravis based change myasthenia gravis activity daily living score mg adl,24-Apr-20,89,change mg adl score day 0 day 10_musk mg,primary efficacy variable change mg adl score day 0 baseline day 10 musk mg subject treated amifampridine phosphate placebo mg adl self report scale designed as patient mg symptom functional performance activity daily living mg adl consists 8 item derived symptom based component original 13 item quantitative myasthenia gravis test as disability secondary ocular 2 item bulbar 3 item respiratory 1 item gross motor limb 2 item impairment related effect mg 8 item rated using response scale ranging 0 normal 3 severe lower score indicate better functional performance data patient diagnosed musk mg reported,"3,4-pyridinediamine, phosphate (1:1) diamino-3,4-pyridine, phosphate salt",No,0
2015-005761-23,phase ii study evaluate safety pharmacokinetics intravenous trappsola cycloa hp beta cd patient niemann pick disease type c npc 1 pharmacodynamic effect treatment upon marker cholesterol metabolism clinical outcome,iii,stage 1 â compare plasma pharmacokinetics hydroxypropyl î² cyclodextrin following three different single do intravenous trappsolâ patient npc 1 stage 2 â evaluate efficacy tolerability three different do trappsolâ management clinical manifestation npc 1,03-Mar-21,12,evaluate plasma pharmacokinetics 3 trappsolâ measurement plasma level cmax,evaluate plasma pk trappsol comparison maximum concentration cmax three do,,No,2
2011-001988-52,cross tumoral phase 2 clinical trial exploring crizotinib pf 02341066 patient advanced tumour induced causal alteration either alk met,2,study primarily as efficacy crizotinib variety tumor alteration alk met pathway targeted patient population include patient tumor harboring specific alteration leading alk met activation tyrosine kinase inhibitor target yet adequately explored,30-Oct-22,198,overall response rate,primary endpoint overall response defined confirmed complete partial response recist 1 1 observed whole treatment period,Crizotinib,No,0
2019-001564-30,phase 3 multicenter randomized double blind placebo controlled study confirm safety tolerability efficacy zilucoplan subject generalized myasthenia gravis,3,confirm efficacy safety tolerability zilucoplan subject gmg,30-Dec-21,174,change baseline cfb week 12 myasthenia gravis activity daily living mg adl total score,mg adl 8 item patient reported outcome measure assessing mg symptom effect daily activity item scale scored 0 3 0 none 3 severe disease point scale total score sum individual item score ranged 0 24 higher score indicated severe disability due mg decrease baseline score indicated improvement modified intention treat mitt population included randomized participant received least 1 dose study drug least 1 post dosing mg adl score,Placebo,No,1
2018-003898-94,open label extension study evaluate long term safety tolerability intrathecally administered ro7234292 rg6042 patient huntingtona disease,0,study evaluate long term safety tolerability ro7234292 rg6042 participant completed f hoffmann la roche ltd sponsored genentech sponsored study huntington disease hd development program rg6042,23-Mar-22,251,percentage participant adverse event,reported treatment emergent aes onset date 5 month last study drug intake,Tominersen,No,0
2013-001888-23,phase 2 dose finding randomized parallel group double blind placebo controlled study evaluating safety efficacy pridopidine 45 mg 67 5 mg 90 mg 112 5 mg twice daily versus placebo symptomatic treatment patient huntingtona disease,2,as efficacy pridopidine 45 112 5 mg twice daily bid motor impairment patient huntingtonâ disease hd 26 week treatment using unified huntingtonâ disease rating scale total motor score tm trial initially designed 26 week study evaluate effect pridopidine motor function due recognition primary target pridopidine s1r suggesting therapeutic potential beyond motor function ongoing trial extended 26 52 week order allow assessment pridopidine total functional capacity tfc minimum 52 needed placebo group decline tfc allow window detect effect treatment tfc approximately 19 patient completed 26 week period 1 study irb approval extension continue period 2 duration 52 week,07-Jul-16,408,change baseline unified huntington disease rating scale total motor score uhdrs tm week 26,tm defined sum uhdrs motor domain rating motor section uhdrs as motor feature huntington disease hd standardized rating oculo motor function dysarthria chorea dystonia gait postural stability 15 assessment rated scale 0 normal 4 marked impairment tm range 0 124 negative change baseline value indicate improvement,placebo,No,1
2016-002804-14,open label extension trial as long term safety zx008 fenfluramine hydrochloride oral solution adjunctive therapy child young adult dravet syndrome,0,as long term safety tolerability zx008,27-Jan-23,375,percentage participant treatment emergent adverse event teaes open label extension ole treatment period,treatment emergent adverse event teae defined aes based start date information occurs first intake study treatment safety saf population included enrolled participant received least one dose zx008 ole,No investigational medicinal product assigned in this arm,No,0
2018-004405-64,double blind placebo controlled study effect min 102 biochemical imaging neurophysiological clinical marker patient friedreicha ataxia,0,main objective evaluate effect 48 weeksâ treatment min 102 compared placebo cervical spinal cord area assessed morphometric mri measurement secondary objective exploratory objective also evaluated secondary objective included evaluating effect 48 week treatment min 102 compared placebo change baseline sara scale assessment rating ataxia total score diffusion tensor imaging dti cervical spinal cord cervical spinal cord total n acetylaspartate concentration myo inositol tnaa min ratio using magnetic resonance spectroscopy mr mri quantitative susceptibility mapping qsm iron concentration dentate nucleus volume fixel based analysis fba brain cerebellar composite functional scale ccfs fatigue severity scale f quality life assessment clinical patient global impression improvement safety tolerability min 102,14-Sep-20,39,change baseline spinal cord area cervical segment c2 c3,value provided least square l mean standard error se change baseline week 48 area measurement spinal cord cervical segment c2 c3 area estimated mri t1 weighted brain image modified intent treat mitt population mitt consisted patient took least 1 dose partial complete study drug least 1 post baseline spinal cord area cervical segment c2 c3 measurement sara assessment visit conclusive outcome primary objective evaluate change baseline cervical spinal cord area 48 week treatment treatment group clinically meaningful change area baseline week 48 numerical difference group small decrease area min 102 group least square l mean change 0 394 mm² small increase placebo group 0 076 mm² considered clinically relevant,MIN-102,No,2
2018-003775-35,phase 2 multicenter randomized placebo controlled double blind study patient acquired thrombotic thrombocytopenic purpura attp evaluate pharmacokinetics safety efficacy radamts 13 shp655 administered addition standard care soc treatment,2,main objective study as pharmacokinetics pk adamts 13 attp participant treated acute episode daily plasma exchange pex immunosuppressant therapy without shp655 supplementation study pk pharmacodynamic pd relationship adamts 13 activity level pathophysiological biomarkers well clinical efficacy parameter,05-Aug-21,28,adamts 13 activity level,adamts 13 activity level assessed fluorescence resonance energy transfer fret adamts13 activity without shp655 supplementation schedule day 1 2 3 4 6 8 11 every 3 day thereafter schedule b day 1 2 3 5 7 9 12 every 3 day thereafter data reported multiple timepoints within 15 minute pre pex post pex 15 minute 0 5 3 hour 4 6 hour post end investigational product ip infusion 1 15 minute 0 5 3 hour post end ip infusion 2 30 minute pre ip infusion 2 schedule schedule b day 11 12 pharmacokinetic pk set enrolled participant confirmed attp diagnosis received least 1 dose investigational product least 1 evaluable post dose pk value adamts 13 antigen adamts 13 activity overall number participant available analysis n participant data available 9999 data estimable 1 participant 99999 data estimable due le participant,Placebo,No,2
2014-001890-15,randomized double blind placebo controlled study sd 809 deutetrabenazine treatment moderate severe tardive dyskinesia,0,â evaluate efficacy sd 809 reduce severity abnormal involuntary movement tardive dyskinesia â evaluate safety tolerability titration maintenance therapy sd 809 subject drug induced tardive dyskinesia,21-May-15,117,change centrally read abnormal involuntary movement scale aim score baseline week 12 using mixed model repeated measure mmrm analysis,aim assessment tool used detect follow severity td time aim composed 12 clinician administered scored item exam digitally video recorded using standard protocol independently reviewed blinded central raters expert movement disorder outcome sum item 1 7 cover orofacial movement well extremity truncal dyskinesia rating based 5 point scale severity 0 none 1 minimal 2 mild 3 moderate 4 severe total scale 0 28 negative change baseline score indicates improvement mmrm analysis change baseline aim score dependent variable used model included fixed effect treatment time point treatment time point interaction dra status baseline aim covariate unstructured covariance model used,SD-809,No,0
2013-002112-27,effect md1003 chronic visual loss related optic neuritis multiple sclerosis pivotal randomized double masked placebo controlled study,0,demonstrate superiority biotin 300 mg day placebo visual improvement patient suffering chronic visual loss optic neuritis related multiple sclerosis,01-Aug-19,93,change baseline best corrected visual acuity 100 contrast,best corrected visual acuity using etdrs logmar chart 100 contrast,MD1003,Yes,0
2009-018072-33,prospective trial diagnosis treatment child adolescent young adult intracranial germ cell tumour,0,germinoma maintain current high event free survival efs rate using risk adapted approach localised germinoma omit whole brain spinal irradiation using combined treatment standard chemotherapy ventricular irradiation boost bifocal tumour pineal suprasellar treat non metastatic disease omit whole brain spinal irradiation using combined treatment standard chemotherapy ventricular irra diation boost metastatic disease maintain current excellent efs metastatic germinoma craniospinal irradiation malignant non germinoma improve efs high risk patient intensifying treatment dose escalation chemotherapy patient identified high risk diagnosis standardising surgical approach residual disease treatment teratoma register patient collect data regarding diagnostics treatment outcome order develop future treatment strategy,30-Jun-20,394,3 year event free survival probability itt,probability event free survival pefs 3 year estimated according kaplan meier method analysis performed using intention treat itt principle study patient respective diagnostic group germinoma non germinoma teratoma,Cisplatin,Yes,2
2016-000283-41,dimethyl fumarate treatment primary progressive multiple sclerosis,0,trial investigates use dimethyl fumarate treatment patient primary progressive multiple sclerosis ppms,09-Dec-20,54,neurofilament light chain cerebrospinal fluid,nan,dimethyl fumarate,No,2
2012-004987-23,phase iib multi national double blind randomised placebo controlled study evaluate safety tolerability efficacy ck 2017357 patient amyotrophic lateral sclerosis al,iib,as effect ck 2017357 hereafter referred tirasemtiv versus placebo al functional rating scale revised alsfrs r total score administered twice daily patient maximum tolerated dose maximum 500 mg daily,21-Mar-14,711,change baseline alsfrs r total score average value obtained end week 8 12 double blind treatment,alsfrs r used measure progression severity disease consists 12 question assessing patient capability independence functional activity relevant al categorized 4 domain gross motor task fine motor task bulbar function respiratory function question score 0 indicating incapable dependent 4 normal total score ranged 0 48 higher score reflecting normal function lower score reflecting impaired function analysis primary endpoint change baseline alsfrs r total score visit 6 week 8 7 week 12 averaged,Tirasemtiv,No,1
2014-001753-17,placebo controlled randomized multiple ascending dose study evaluate safety tolerability pharmacokinetics biological activity atyr1940 adult patient molecularly defined genetic muscular dystrophy,0,evaluate safety tolerability pharmacokinetics pk immunogenicity multiple do intravenous iv atyr1940 adult 18 65 year age inclusive fshd clinically significant laboratory abnormality reported adverse event therefore appear adverse event section dataset consequence endpoint reported dataset limited relevant safety endpoint well pharmacodynamic endpoint cohort 4 optional study sponsor elected move forward cohort 4,04-Jan-17,20,anti drug antibody ada,nan,ATYR1940,No,2
2018-004058-11,phase 3 trial setmelanotide rm 493 melanocortin 4 receptor mc4r agonist bardet biedl syndrome bb alstrom syndrome patient moderate severe obesity,3,trial 2 part randomised double blind placebo controlled 14 week double blind treatment period followed 52 week open label treatment period total treatment period 66 week main objective as effect setmelanotide proportion patient 12 year age baseline treated setmelanotide approximately 52 week achieve clinically meaningful reduction baseline ie 10 body weight,08-Mar-21,52,body weight change,primary endpoint proportion pivotal patient 12 year old met 10 weight loss threshold baseline e responder approximately 1 year treatment setmelanotide analysis performed fa population patient received study drug least one baseline assessment weight measured triplicate visit mean value analysed estimated proportion pivotal patient 12 year age achieved 10 reduction body weight compared historical control rate 10 comparative analysis binomial proportion 100 imputed datasets outcome combined using rubin rule provide overall estimate 1 sided 0 025 significance level used based small sample size due rarity disease result statistical analysis point estimate 32 3 95 ci 16 7 51 4 p 0 0006 indicating primary efficacy endpoint met,Setmelanotide (with or without placebo),Yes,0
2014-001915-37,randomized double blind trial investigating efficacy safety intravenous neridronic acid subject complex regional pain syndrome type crp,0,demonstrate efficacy neridronic acid versus placebo treatment pain associated crp cumulative do neridronic acid 125 mg 250 mg investigated trial characterize dose response find minimally effective dose crp phase 3 trial confirm efficacy safety neridronic acid 400 mg previously established,02-Nov-16,230,change pain intensity score baseline week 12,pain intensity score related crp affected limb determined current pain intensity rating captured electronic diary using 11 point numerical rating scale nrs subject asked rate current crp related pain intensity twice daily morning evening subject rated pain scale 0 pain 10 pain bad imagine pain intensity score weekly average calculated average 14 current pain intensity rating obtained 7 day week reduction pain intensity result negative value,Sodium neridronate hemi hydrate for intravenous infusion,No,0
2014-000253-36,double masked placebo controlled study open label period evaluate efficacy safety medi 551 adult subject neuromyelitis optica neuromyelitis optica spectrum disorder,0,primary objective study compare efficacy inebilizumab versus placebo reducing risk neuromyelitis optica spectrum disorder nmosd attack participant nmosd,06-Nov-20,231,time adjudication committee ac determined nmosd attack rcp,nmosd attack defined presence new worsening symptom related nmosd meet least one 18 protocol defined attack criterion criterion developed conjunction panel disease expert food drug administration input intended clinically meaningful objective quantifiable able used worldwide attack positively adjudicated ac used primary analysis arbitrary number 0 99999 99999 0 9999 9 signified data lower limit confidence interval ci upper limit ci median respectively calculated insufficient nmosd attack determine data specified arm intent treat itt population analysed included participant randomised received study drug grouped according randomised treatment,Placebo,Yes,0
